Time,Action Type,Player Hand,Board,Cards Action,Wrong Actions,Reward,Score,Roles,Round Number,Player,Players Status
2020-02-29_19:15:46.416439,DISCARD,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[11],35,0.1,[],"[2, 3, 1, 0]",19,1,"Pass_('Discard: ', [11])_Pass_Pass"
2020-02-29_19:15:46.602672,DISCARD,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 8, 10]","[9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[9],79,0.1,[],"[2, 3, 1, 0]",19,2,"Pass_('Discard: ', [11])_('Discard: ', [9])_Pass"
2020-02-29_19:15:46.815961,DISCARD,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 10]","[8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[8],113,0.1,[],"[2, 3, 1, 0]",19,3,"Pass_('Discard: ', [11])_('Discard: ', [9])_('Discard: ', [8])"
2020-02-29_19:15:47.025209,DISCARD,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 10]","[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[7],121,0.1,[],"[2, 3, 1, 0]",19,0,"('Discard: ', [7])_('Discard: ', [11])_('Discard: ', [9])_('Discard: ', [8])"
2020-02-29_19:15:47.464326,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 10]","[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,313,0.1,[],"[2, 3, 1, 0]",20,1,"('Discard: ', [7])_Pass_('Discard: ', [9])_('Discard: ', [8])"
2020-02-29_19:15:47.685314,DISCARD,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 7, 7, 8, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[5],137,0.1,[],"[2, 3, 1, 0]",20,2,"('Discard: ', [7])_Pass_('Discard: ', [5])_('Discard: ', [8])"
2020-02-29_19:15:48.028874,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 7, 7, 8, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,245,0.1,[],"[2, 3, 1, 0]",20,3,"('Discard: ', [7])_Pass_('Discard: ', [5])_Pass"
2020-02-29_19:15:48.481783,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 7, 7, 8, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,323,0.1,[],"[2, 3, 1, 0]",20,0,"Pass_Pass_('Discard: ', [5])_Pass"
2020-02-29_19:15:48.928437,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 7, 7, 8, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,314,0.1,[],"[2, 3, 1, 0]",21,1,"Pass_Pass_('Discard: ', [5])_Pass"
2020-02-29_19:15:49.420636,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 7, 7, 8, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,352,0.1,[],"[2, 3, 1, 0]",21,2,Pass_Pass_Pass_Pass
2020-02-29_19:15:49.740221,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 7, 7, 8, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,234,0.1,[],"[2, 3, 1, 0]",21,3,Pass_Pass_Pass_Pass
2020-02-29_19:15:49.778852,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 7, 7, 8, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,1,0.1,[],"[2, 3, 1, 0]",21,0,Pass_Pass_Pass_Pass
2020-02-29_19:15:49.778944,PIZZA_READY,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 7, 7, 8, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 10]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,[],"[2, 3, 1, 0]",22,,Pass_Pass_Pass_Pass
2020-02-29_19:15:49.865600,DISCARD,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 8, 10]","[8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[8],3,0.1,[],"[2, 3, 1, 0]",22,2,"Pass_Pass_('Discard: ', [8])_Pass"
2020-02-29_19:15:50.245564,DISCARD,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 8, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[5],264,0.1,[],"[2, 3, 1, 0]",22,3,"Pass_Pass_('Discard: ', [8])_('Discard: ', [5])"
2020-02-29_19:15:50.304344,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 8, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,2,0.1,[],"[2, 3, 1, 0]",22,0,"Pass_Pass_('Discard: ', [8])_('Discard: ', [5])"
2020-02-29_19:15:50.459388,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 8, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,70,0.1,[],"[2, 3, 1, 0]",22,1,"Pass_Pass_('Discard: ', [8])_('Discard: ', [5])"
2020-02-29_19:15:50.703783,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 8, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,156,0.1,[],"[2, 3, 1, 0]",23,2,"Pass_Pass_Pass_('Discard: ', [5])"
2020-02-29_19:15:51.044815,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 8, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,237,0.1,[],"[2, 3, 1, 0]",23,3,Pass_Pass_Pass_Pass
2020-02-29_19:15:51.064304,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 8, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,0,0.1,[],"[2, 3, 1, 0]",23,0,Pass_Pass_Pass_Pass
2020-02-29_19:15:51.302155,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 8, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,149,0.1,[],"[2, 3, 1, 0]",23,1,Pass_Pass_Pass_Pass
2020-02-29_19:15:51.302263,PIZZA_READY,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 8, 10]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,[],"[2, 3, 1, 0]",24,,Pass_Pass_Pass_Pass
2020-02-29_19:15:51.497363,DISCARD,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10]","[8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[8, 8]",72,0.1,[],"[2, 3, 1, 0]",24,3,"Pass_Pass_Pass_('Discard: ', [8, 8])"
2020-02-29_19:15:51.521238,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10]","[8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,0,0.1,[],"[2, 3, 1, 0]",24,0,"Pass_Pass_Pass_('Discard: ', [8, 8])"
2020-02-29_19:15:52.027106,DISCARD,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10]","[7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 7]",281,0.1,[],"[2, 3, 1, 0]",24,1,"Pass_('Discard: ', [7, 7])_Pass_('Discard: ', [8, 8])"
2020-02-29_19:15:52.340444,DISCARD,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10]","[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 6]",208,0.1,[],"[2, 3, 1, 0]",24,2,"Pass_('Discard: ', [7, 7])_('Discard: ', [6, 6])_('Discard: ', [8, 8])"
2020-02-29_19:15:52.756064,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10]","[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,302,0.1,[],"[2, 3, 1, 0]",25,3,"Pass_('Discard: ', [7, 7])_('Discard: ', [6, 6])_Pass"
2020-02-29_19:15:52.776948,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10]","[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,0,0.1,[],"[2, 3, 1, 0]",25,0,"Pass_('Discard: ', [7, 7])_('Discard: ', [6, 6])_Pass"
2020-02-29_19:15:53.266958,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10]","[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,328,0.1,[],"[2, 3, 1, 0]",25,1,"Pass_Pass_('Discard: ', [6, 6])_Pass"
2020-02-29_19:15:53.625028,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10]","[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,269,0.1,[],"[2, 3, 1, 0]",25,2,Pass_Pass_Pass_Pass
2020-02-29_19:15:53.625111,PIZZA_READY,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,[],"[2, 3, 1, 0]",26,,Pass_Pass_Pass_Pass
2020-02-29_19:15:53.807801,DISCARD,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10]","[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[7],98,0.1,[],"[2, 3, 1, 0]",26,2,"Pass_Pass_('Discard: ', [7])_Pass"
2020-02-29_19:15:53.965200,DISCARD,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[5],61,0.1,[],"[2, 3, 1, 0]",26,3,"Pass_Pass_('Discard: ', [7])_('Discard: ', [5])"
2020-02-29_19:15:53.984677,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,0,0.1,[],"[2, 3, 1, 0]",26,0,"Pass_Pass_('Discard: ', [7])_('Discard: ', [5])"
2020-02-29_19:15:54.242885,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,183,0.1,[],"[2, 3, 1, 0]",26,1,"Pass_Pass_('Discard: ', [7])_('Discard: ', [5])"
2020-02-29_19:15:54.476491,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,149,0.1,[],"[2, 3, 1, 0]",27,2,"Pass_Pass_Pass_('Discard: ', [5])"
2020-02-29_19:15:54.887038,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,302,0.1,[],"[2, 3, 1, 0]",27,3,Pass_Pass_Pass_Pass
2020-02-29_19:15:54.907197,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,0,0.1,[],"[2, 3, 1, 0]",27,0,Pass_Pass_Pass_Pass
2020-02-29_19:15:55.081996,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,90,0.1,[],"[2, 3, 1, 0]",27,1,Pass_Pass_Pass_Pass
2020-02-29_19:15:55.082080,PIZZA_READY,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,[],"[2, 3, 1, 0]",28,,Pass_Pass_Pass_Pass
2020-02-29_19:15:55.383662,FINISH,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,207,1.0,[3],"[2, 3, 1, 0]",28,3,Pass_Pass_Pass_Finish
2020-02-29_19:15:55.404873,PASS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,0,0.1,[3],"[2, 3, 1, 0]",28,0,Pass_Pass_Pass_Finish
2020-02-29_19:15:55.733747,DISCARD,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 8, 11]_[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[7],218,0.1,[3],"[2, 3, 1, 0]",28,1,"Pass_('Discard: ', [7])_Pass_Finish"
